,X.1,SA2,SA2_NAME16,Earners,Median.age.of.earners,Income,Median,Mean,Gini.coefficient,inc_pp,inc_pw, Median_LABELS 
1,1,311021306,Beenleigh,3745,40,165994289,40750,44324,0.375,44324.24272,852," 40,750 "
2,2,311021307,Eagleby,5451,39,224485416,38183,41182,0.397,41182.42818,792," 38,183 "
3,3,311021308,Edens Landing - Holmview,3547,37,169929610,44769,47908,0.35,47907.98139,921," 44,769 "
4,4,311021309,Mount Warren Park,3067,41,150470989,44761,49061,0.391,49061.2941,943," 44,761 "
5,5,311021310,Wolffdene - Bahrs Scrub,3363,42,181677229,44805,54022,0.426,54022.36961,1039," 44,805 "
6,6,311031311,Boronia Heights - Park Ridge,5804,41,269515360,41431,46436,0.405,46436.14059,893," 41,431 "
7,7,311031312,Browns Plains,3594,36,168122295,43670,46779,0.354,46778.60184,900," 43,670 "
8,8,311031313,Chambers Flat - Logan Reserve,2114,46,103942267,42044,49169,0.435,49168.52744,946," 42,044 "
9,9,311031314,Crestmead,5370,37,239708949,42819,44639,0.336,44638.53799,858," 42,819 "
10,10,311031316,Hillcrest,4569,41,242397602,46037,53053,0.404,53052.65966,1020," 46,037 "
11,11,311031317,Marsden,5993,36,260345030,41499,43442,0.344,43441.52011,835," 41,499 "
12,12,311031318,Munruben - Park Ridge South,2670,45,141603784,46593,53035,0.393,53035.12509,1020," 46,593 "
13,13,311031319,Regents Park - Heritage Park,8651,40,436262819,46578,50429,0.355,50429.17801,970," 46,578 "
14,14,311041320,Greenbank,6808,42,386545301,49630,56778,0.396,56778.09944,1092," 49,630 "
15,15,311041321,Jimboomba,11342,41,606210735,47013,53448,0.391,53448.31026,1028," 47,013 "
16,16,311041322,Logan Village,3619,43,192851241,45275,53289,0.42,53288.54407,1025," 45,275 "
17,17,311051323,Bethania - Waterford,4508,38,210944597,43309,46793,0.377,46793.38886,900," 43,309 "
18,18,311051324,Cornubia - Carbrook,5110,44,296111624,46563,57947,0.446,57947.48023,1114," 46,563 "
19,19,311051325,Loganholme - Tanah Merah,6351,39,326307373,46086,51379,0.372,51378.89671,988," 46,086 "
20,20,311051326,Loganlea,4607,38,210048421,42001,45593,0.379,45593.31908,877," 42,001 "
21,21,311051327,Shailer Park,7117,42,401348696,48314,56393,0.415,56392.95996,1084," 48,314 "
22,22,311051328,Waterford West,3335,38,148512799,41171,44532,0.377,44531.57391,856," 41,171 "
23,23,311061329,Daisy Hill,3859,42,220898119,47402,57242,0.436,57242.32159,1101," 47,402 "
24,24,311061330,Kingston (Qld.),4040,39,167607962,39733,41487,0.359,41487.11931,798," 39,733 "
25,25,311061331,Logan Central,2201,39,84309785,37267,38305,0.38,38305.21808,737," 37,267 "
26,26,311061332,Rochedale South - Priestdale,8939,40,471012146,47148,52692,0.394,52691.81631,1013," 47,148 "
27,27,311061333,Slacks Creek,4811,39,216441322,41945,44989,0.366,44988.84265,865," 41,945 "
28,28,311061334,Springwood,5592,42,298479302,46665,53376,0.406,53376.12697,1026," 46,665 "
29,29,311061335,Underwood,3420,38,182519659,46517,53368,0.414,53368.32135,1026," 46,517 "
30,30,311061336,Woodridge,4746,38,190485384,38870,40136,0.361,40135.98483,772," 38,870 "
