SA2_NAME16,Northern.European.Languages,Southern.European.Languages,Eastern.European.Languages,Southwest.and.Central.Asian.Languages,Southern.Asian.Languages,Southeast.Asian.Languages,Eastern.Asian.Languages,Australian.Indigenous.Languages,Language_Total,Total_ATSI,Total_pop,Total_Pop_Labels,SA2,Disability_Support_.Pension,JobSeeker_Payment,Low_Income_Card,Parenting_Payment_Partnered,Parenting_Payment_Single,Commonwealth_Rent_Assistance
Beenleigh,6880,91,82,48,80,197,45,3,7424,436,8253,"8,253",31306,690,1035,69,40,203,1515
Bethania - Waterford,8968,122,127,99,207,142,232,0,9903,346,10869,"10,869",31323,435,798,66,73,237,2037
Boronia Heights - Park Ridge,9914,158,191,35,281,310,344,4,11248,391,12239,"12,239",31311,596,1193,115,106,390,2277
Browns Plains,5047,104,175,147,384,348,315,0,6517,255,7374,"7,374",31312,318,739,52,69,151,874
Chambers Flat - Logan Reserve,4143,49,82,36,56,216,63,0,4644,116,5060,"5,060",31313,223,557,37,60,152,962
Cornubia - Carbrook,7548,110,115,35,79,53,78,0,8027,159,8452,"8,452",31324,158,359,37,11,47,427
Crestmead,8895,101,147,191,160,480,66,4,10035,520,11989,"11,989",31314,558,1154,78,121,385,1549
Daisy Hill,5344,114,144,64,192,120,331,7,6307,130,6636,"6,636",31329,137,351,30,14,58,431
Eagleby,10958,187,169,218,111,215,110,13,11975,590,13327,"13,327",31307,901,1314,101,107,422,2912
Edens Landing - Holmview,6234,85,131,133,121,142,103,0,6943,219,7452,"7,452",31308,296,640,61,81,204,1043
Greenbank,11413,99,121,10,51,351,96,0,12136,366,12845,"12,845",31320,317,732,73,49,163,703
Hillcrest,6521,147,155,58,210,245,264,0,7599,237,8153,"8,153",31316,271,552,47,51,130,721
Jimboomba,23252,166,120,17,95,200,165,7,24014,850,25744,"25,744",31321,808,1991,188,188,724,2639
Kingston (Qld.),6684,119,188,382,266,588,125,8,8358,626,10412,"10,412",31330,696,1428,107,133,314,1533
Logan Central,3412,55,110,378,172,732,95,9,4958,323,6136,"6,136",31331,467,912,55,109,197,1157
Logan Village,6309,49,46,11,10,62,19,0,6499,172,7000,"7,000",31322,193,498,47,27,54,566
Loganholme - Tanah Merah,9578,119,169,67,91,140,185,5,10362,243,11129,"11,129",31325,297,701,86,46,152,891
Loganlea,7340,88,172,365,385,416,186,17,8972,457,10434,"10,434",31326,624,1285,113,116,299,1696
Marsden,9508,132,234,465,414,725,141,0,11615,537,14448,"14,448",31317,647,1515,101,206,379,2213
Mount Warren Park,5118,64,65,13,31,88,47,0,5420,136,5789,"5,789",31309,202,418,37,10,77,530
Munruben - Park Ridge South,4033,42,64,22,29,145,85,0,4419,102,4613,"4,613",31318,116,262,30,10,46,215
Regents Park - Heritage Park,12212,219,593,185,478,589,423,0,14703,392,15938,"15,938",31319,416,1001,80,82,226,1076
Rochedale South - Priestdale,12779,236,279,103,368,183,692,0,14649,249,15455,"15,455",31332,314,749,77,37,120,830
Shailer Park,9994,153,214,89,179,131,259,0,11027,166,11645,"11,645",31327,211,575,60,28,94,623
Slacks Creek,7456,104,228,377,287,414,201,0,9071,513,10431,"10,431",31333,544,1131,109,103,233,1289
Springwood,7454,130,208,81,192,190,343,3,8610,150,9278,"9,278",31334,180,552,66,21,80,724
Underwood,3471,99,234,298,607,201,1023,0,5929,85,6344,"6,344",31335,113,399,34,39,54,442
Waterford West,5469,70,138,103,162,322,66,0,6324,285,7243,"7,243",31328,398,701,36,67,178,1171
Wolffdene - Bahrs Scrub,5530,58,56,12,14,46,56,0,5773,126,6105,"6,105",31310,133,426,45,28,139,622
Woodridge,6962,141,204,1066,610,1046,217,11,10253,632,12580,"12,580",31336,845,1844,118,194,440,2309
